
Right_Rokos Log File
Start Time = 2021-09-30 13:15:08.715463
Finish Time = 2021-09-30 13:36:00.252455

Time Difference = 0:20:51.536992

------------------------------------------------

 [[-0.221, -2.84, 3.491, -80.0, 30.0], [1, 3, 2, 4, 5], [35363, '13M38_1', 1, 'IC_6']],
 [[-0.221, -2.84, 3.491, -90.0, -70.0], [1, 3, 2, 4, 5], [35364, '13M38_1', 1, 'IC_6']],
 [[0.079, -2.54, 3.491, -0.0, -60.0], [1, 3, 2, 4, 5], [35365, '13M38_1', 1, 'IC_6']],
 [[0.079, -2.54, 3.491, -10.0, -40.0], [1, 3, 2, 4, 5], [35366, '13M38_1', 1, 'IC_6']],
 [[0.079, -2.84, 3.491, -10.0, -30.0], [1, 3, 2, 4, 5], [35367, '13M38_1', 1, 'IC_6']],
 [[-0.321, -2.84, 0.641, -0.0, 80.0], [1, 3, 2, 4, 5], [35369, '13M38_1', 1, 'ALT']],
 [[0.279, -1.146, 1.603, -90.0, -0.0], [1, 3, 2, 4, 5], [35371, '13M38_1', 1, 'DIS']],
 [[0.579, -2.54, 0.641, -0.0, 80.0], [1, 3, 2, 4, 5], [35373, '13M38_1', 1, 'ALT']],
 [[0.879, -2.84, 0.641, -10.0, 90.0], [1, 3, 2, 4, 5], [35374, '13M38_1', 1, 'ALT']],
 [[1.029, -2.24, 3.491, -10.0, -40.0], [1, 3, 2, 4, 5], [35376, '13M38_1', 1, 'IC_7']],
 [[1.029, -2.54, 3.491, -10.0, -50.0], [1, 3, 2, 4, 5], [35377, '13M38_1', 1, 'IC_7']],
 [[1.029, -2.54, 3.491, -80.0, -40.0], [1, 3, 2, 4, 5], [35378, '13M38_1', 1, 'IC_7']],
 [[1.029, -2.54, 3.491, -90.0, -60.0], [1, 3, 2, 4, 5], [35379, '13M38_1', 1, 'IC_7']],
 [[1.029, -2.84, 3.491, -90.0, 40.0], [1, 3, 2, 4, 5], [35380, '13M38_1', 1, 'IC_7']],
 [[1.329, -2.54, 3.491, -0.0, 80.0], [1, 3, 2, 4, 5], [35381, '13M38_1', 1, 'IC_7']],
 [[2.079, -1.146, 2.803, -90.0, -0.0], [1, 3, 2, 4, 5], [35386, '13M38_1', 1, 'DIS']],
 [[2.229, -1.94, 3.491, -70.0, 50.0], [1, 3, 2, 4, 5], [35388, '13M38_1', 1, 'IC_8']],
 [[2.229, -2.24, 3.491, -20.0, -30.0], [1, 3, 2, 4, 5], [35389, '13M38_1', 1, 'IC_8']],
 [[2.229, -2.54, 3.491, -70.0, -40.0], [1, 3, 2, 4, 5], [35390, '13M38_1', 1, 'IC_8']],
 [[2.229, -2.54, 3.491, -80.0, -50.0], [1, 3, 2, 4, 5], [35391, '13M38_1', 1, 'IC_8']],
 [[2.229, -2.84, 3.491, -0.0, -20.0], [1, 3, 2, 4, 5], [35392, '13M38_1', 1, 'IC_8']],
 [[2.229, -2.84, 3.491, -0.0, -70.0], [1, 3, 2, 4, 5], [35393, '13M38_1', 1, 'IC_8']],
 [[2.229, -2.84, 3.491, -50.0, -50.0], [1, 3, 2, 4, 5], [35394, '13M38_1', 1, 'IC_8']],
 [[2.229, -2.84, 3.491, -60.0, -40.0], [1, 3, 2, 4, 5], [35395, '13M38_1', 1, 'IC_8']],
 [[2.229, -2.84, 3.491, -90.0, -60.0], [1, 3, 2, 4, 5], [35396, '13M38_1', 1, 'IC_8']],
 [[2.529, -1.94, 3.491, -30.0, -60.0], [1, 3, 2, 4, 5], [35397, '13M38_1', 1, 'IC_8']],
 [[2.529, -2.84, 3.491, -90.0, -50.0], [1, 3, 2, 4, 5], [35398, '13M38_1', 1, 'IC_8']],
 [[2.529, -2.84, 3.491, -90.0, -70.0], [1, 3, 2, 4, 5], [35399, '13M38_1', 1, 'IC_8']],
 [[2.829, -1.94, 3.491, -30.0, 30.0], [1, 3, 2, 4, 5], [35400, '13M38_1', 1, 'IC_8']],
 [[2.829, -2.84, 3.491, -30.0, 40.0], [1, 3, 2, 4, 5], [35401, '13M38_1', 1, 'IC_8']],
 [[2.829, -2.84, 3.491, -40.0, -40.0], [1, 3, 2, 4, 5], [35402, '13M38_1', 1, 'IC_8']],
 [[2.829, -2.84, 3.491, -90.0, 40.0], [1, 3, 2, 4, 5], [35403, '13M38_1', 1, 'IC_8']],
 [[3.129, -2.54, 3.491, -10.0, 40.0], [1, 3, 2, 4, 5], [35404, '13M38_1', 1, 'IC_8']],
 [[3.129, -2.54, 3.491, -10.0, -50.0], [1, 3, 2, 4, 5], [35405, '13M38_1', 1, 'IC_8']],
 [[3.129, -2.84, 3.491, -0.0, -0.0], [1, 3, 2, 4, 5], [35406, '13M38_1', 1, 'IC_8']],
 [[3.129, -2.84, 3.491, -0.0, -40.0], [1, 3, 2, 4, 5], [35407, '13M38_1', 1, 'IC_8']],
 [[3.129, -2.84, 3.491, -10.0, 20.0], [1, 3, 2, 4, 5], [35408, '13M38_1', 1, 'IC_8']],
 [[3.129, -2.84, 3.491, -10.0, -40.0], [1, 3, 2, 4, 5], [35409, '13M38_1', 1, 'IC_8']],
 [[2.379, -2.84, 0.641, 10.0, 100.0], [1, 3, 2, 4, 5], [35411, '13M38_1', 1, 'ALT']],
 [[2.379, -2.84, 0.641, -0.0, 100.0], [1, 3, 2, 4, 5], [35412, '13M38_1', 1, 'ALT']],
 [[2.379, -2.84, 0.641, -10.0, 80.0], [1, 3, 2, 4, 5], [35413, '13M38_1', 1, 'ALT']],
 [[2.679, -2.24, 0.641, 10.0, 100.0], [1, 3, 2, 4, 5], [35414, '13M38_1', 1, 'ALT']],
 [[3.279, -2.24, 0.641, 10.0, 100.0], [1, 3, 2, 4, 5], [35415, '13M38_1', 1, 'ALT']],
 [[3.279, -2.84, 0.641, -0.0, 90.0], [1, 3, 2, 4, 5], [35416, '13M38_1', 1, 'ALT']],
 [[3.279, -1.146, 1.903, -90.0, 10.0], [1, 3, 2, 4, 5], [35418, '13M38_1', 1, 'DIS']],
 [[3.879, -2.84, 0.641, -0.0, 100.0], [1, 3, 2, 4, 5], [35420, '13M38_1', 1, 'ALT']],
 [[4.179, -2.84, 0.641, 10.0, 100.0], [1, 3, 2, 4, 5], [35421, '13M38_1', 1, 'ALT']],
 [[4.179, -2.84, 0.641, 10.0, 80.0], [1, 3, 2, 4, 5], [35422, '13M38_1', 1, 'ALT']],
 [[4.179, -1.146, 3.403, -90.0, -0.0], [1, 3, 2, 4, 5], [35424, '13M38_1', 1, 'DIS']],
 [[4.479, -1.94, 0.641, -10.0, 80.0], [1, 3, 2, 4, 5], [35426, '13M38_1', 1, 'ALT']],
 [[4.479, -1.146, 2.503, -90.0, -10.0], [1, 3, 2, 4, 5], [35428, '13M38_1', 1, 'DIS']],
 [[4.479, -1.146, 3.103, -90.0, -0.0], [1, 3, 2, 4, 5], [35429, '13M38_1', 1, 'DIS']],
 [[6.079, -2.84, 1.603, 10.0, 170.0], [1, 3, 2, 4, 5], [35431, '13M38_1', 1, 'ON']],
 [[6.079, -2.84, 2.203, 10.0, 170.0], [1, 3, 2, 4, 5], [35432, '13M38_1', 1, 'ON']],
 [[6.079, -2.84, 2.503, -0.0, 190.0], [1, 3, 2, 4, 5], [35433, '13M38_1', 1, 'ON']],
 [[6.079, -1.94, 3.103, 10.0, 190.0], [1, 3, 2, 4, 5], [35434, '13M38_1', 1, 'ON']],
 [[6.079, -2.84, 3.403, -0.0, 190.0], [1, 3, 2, 4, 5], [35435, '13M38_1', 1, 'ON']],
 [[6.079, -2.84, 3.703, -0.0, 170.0], [1, 3, 2, 4, 5], [35436, '13M38_1', 1, 'ON']],
 [[-7.8, -1.146, 0.686, 0.0, 0.0], [5, 3, 4, 1, 2], [0, 'GENERAL', 0, 'HOME']]]
